#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
26 , VITUTTAA,Petri Nygård,52,"finnish dance pop, finnish hip hop, finnish pop","Dance/Electronic, Hip Hop, Pop",VITUTTAA,2022-04-08,3:03,81,68,4,0,75,7,44,-5 db,132,B Minor,10A,4,2022-04-16,74kXpzg7rPtJkrJ7B3Nwmh
27 , Kesäyö,Pariisin Kevät,58,"finnish indie, finnish pop, suomi rock","World/Traditional, Pop",Kaikki on satua,2012-02-20,3:57,46,78,1,4,53,3,9,-8 db,98,A Minor,8A,4,2022-04-16,4Q7NePRrh6S0WzKMz8CbCA
28 , Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons,JID,Arcane,League of Legends",87,"modern rock, rock, hip hop, rap, speedrun, video game music","Hip Hop, Rock, Easy listening",Mercury - Act 1,2021-09-03,2:53,73,78,24,0,56,27,43,-4 db,77,B Minor,10A,4,2022-04-16,1HhNoOuqm1a5MXYEgAFl8o
29 , Samma gamla vanliga - Remix,"Cledos,ibe,Averagekidluke,A36",60,"finnish dance pop, finnish hip hop, finnish trap, swedish hip hop, swedish trap pop","Dance/Electronic, Hip Hop",Samma gamla vanliga (Remix),2021-09-10,3:10,93,50,23,0,78,16,6,-11 db,111,D Major,10B,4,2022-04-16,3EfMGeYXw69Saa14torWpK
30 , Hole In One,Costi,22,finnish hip hop,Hip Hop,Hole In One,2022-04-15,2:28,75,70,1,0,65,11,62,-8 db,155,C♯/D♭ Major,3B,4,2022-04-16,2SVPmGSTrkgvGdLoQbw9xI
31 , Niin Siin Vaan Kävi,"SMC Lähiörotat,JVG",55,"finnish hip hop, suomirap, finnish dance pop, finnish pop, finnish trap","Dance/Electronic, Hip Hop, Pop, World/Traditional",Niin Siin Vaan Kävi,2022-04-01,5:13,82,66,7,0,55,23,9,-8 db,92,C♯/D♭ Major,3B,4,2022-04-16,7I61JoM3TyzP8kWpeKK94A
32 , Bam Bam (feat. Ed Sheeran),"Camila Cabello,Ed Sheeran",73,"dance pop, pop, post-teen pop, uk pop",Pop,Familia,2022-04-07,3:26,76,70,18,0,96,4,33,-6 db,95,G#/A♭ Major,4B,4,2022-04-16,2DB4DdfCFMw1iaR6JaR03a
33 , Shivers,Ed Sheeran,93,"pop, uk pop",Pop,=,2021-10-29,3:27,79,86,28,0,82,9,4,-3 db,141,D Major,10B,4,2022-04-16,50nfwKoDiSYg8zOCREWAm5
34 , Nukkuvat aamut,Lauri Tähkä,60,"finnish dance pop, finnish pop, suomi rock","Dance/Electronic, Pop, World/Traditional",Nukkuvat aamut,2022-02-04,3:14,56,67,26,0,60,6,9,-6 db,174,C Major,8B,4,2022-04-16,5YW76GVS51KRAbMkaIPYni
35 , Pepas,Farruko,83,"latin, latin hip hop, reggaeton, trap latino","Latin, Hip Hop",La 167,2021-10-01,4:47,76,77,1,0,44,3,13,-4 db,130,G Major,9B,4,2022-04-16,2B4GHvToeLTOBB4QLzW3Ni
36 , STAY (with Justin Bieber),"The Kid LAROI,Justin Bieber",91,"australian hip hop, canadian pop, pop","Hip Hop, Pop",F*CK LOVE 3: OVER YOU,2021-07-23,2:21,59,76,4,0,48,5,10,-5 db,170,C♯/D♭ Major,3B,4,2022-04-16,5PjdY0CKGZdEuoNab3yDmX
37 , Infinity,Jaymes Young,92,"modern rock, pop","Rock, Pop",Feel Something,2017-06-23,3:57,67,67,15,0,49,4,30,-7 db,122,B Minor,10A,4,2022-04-16,1SOClUWhOi8vHZYMz3GluK
38 , Munkaa,"Blacflaco,Mjay",50,"finnish drill, finnish trap,",,G baby,2022-03-25,2:55,57,52,35,0,40,7,18,-7 db,99,E Minor,9A,4,2022-04-16,6uBUE6pgQnHYq64cENGtrb
39 ," Uptown Baby (feat. Ares, Averagekidluke, Xavier Weeks)","LEWIZKI,Averagekidluke,Xavier Weeks,Ares",54,"finnish drill, melodic rap, finnish hip hop",Hip Hop,"Uptown Baby (feat. Ares, Averagekidluke, Xavier Weeks)",2022-04-01,3:20,78,56,19,0,71,7,11,-8 db,92,B Minor,10A,4,2022-04-16,2sUktgwwpgivOkmOideaWt
