#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
38 , Dandelions,Ruth B.,89,"alt z, canadian contemporary r&b, canadian pop, pop","R&B, Pop",Safe Haven,2017-05-05,3:53,61,69,2,0,45,3,9,-3 db,117,C♯/D♭ Major,3B,3,2022-04-25,2eAvDnpXP5W0cVtiI0PUxV
39 , traitor,Olivia Rodrigo,89,pop,Pop,SOUR,2021-05-21,3:49,38,34,69,0,8,3,12,-8 db,101,D#/E♭ Major,5B,4,2022-04-25,5CZ40GBx1sQ9agT82CLQCT
40 , PROVENZA,KAROL G,73,"latin, reggaeton, reggaeton colombiano, trap latino",Latin,PROVENZA,2022-04-22,3:30,87,52,66,1,53,5,11,-8 db,111,C♯/D♭ Major,3B,4,2022-04-25,7dSZ6zGTQx66c2GF91xCrb
41 , Kiss Me More (feat. SZA),"Doja Cat,SZA",84,"dance pop, pop, r&b","Pop, R&B",Planet Her,2021-06-25,3:28,76,71,26,0,78,3,12,-3 db,111,G#/A♭ Major,4B,4,2022-04-25,3DarAbFujv6eYNliUTyqtz
42 , Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Tainy,Bad Bunny,Julieta Venegas",90,"latin, latin hip hop, latin pop, pop reggaeton, reggaeton, trap latino, latin alternative, latin rock, pop, rock en espanol","Latin, Hip Hop, Pop",Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),2021-10-05,3:27,64,70,9,0,14,8,9,-6 db,170,E Minor,9A,4,2022-04-25,4gzsuuZypVbxs0Af1LSZyB
43 , Need to Know,Doja Cat,88,"dance pop, pop",Pop,Planet Her,2021-06-25,3:30,66,61,30,0,19,7,9,-7 db,130,C♯/D♭ Major,3B,4,2022-04-25,3Vi5XqYrmQgOYBajMWSvCi
44 , Infinity,Jaymes Young,90,"modern rock, pop","Rock, Pop",Feel Something,2017-06-23,3:57,67,67,15,0,49,4,30,-7 db,122,B Minor,10A,4,2022-04-25,1SOClUWhOi8vHZYMz3GluK
45 , Plan A,Paulo Londra,90,"argentine hip hop, trap argentino, trap latino","Hip Hop, Latin",Plan A,2022-03-23,2:58,58,83,5,0,56,4,7,-5 db,174,C Major,8B,4,2022-04-25,2gpQi3hbcUAcEG8m2dlgfB
46 , Yonaguni,Bad Bunny,89,"latin, reggaeton, trap latino",Latin,Yonaguni,2021-06-04,3:26,64,65,28,0,44,12,14,-5 db,180,C♯/D♭ Major,3B,4,2022-04-25,2JPLbjOn0wPCngEot2STUS
47 , I Love You So,The Walters,90,chicago indie,Rock,I Love You So,2014-11-28,2:40,57,65,58,0,47,4,12,-5 db,76,A#/B♭ Major,6B,4,2022-04-25,4SqWKzw0CbA05TGszDgMlc
48 , drivers license,Olivia Rodrigo,88,pop,Pop,SOUR,2021-05-21,4:02,56,43,77,0,14,6,11,-9 db,144,A#/B♭ Major,6B,4,2022-04-25,5wANPM4fQCJwkGd4rN57mH
49 , Save Your Tears,The Weeknd,88,"canadian contemporary r&b, canadian pop, pop","R&B, Pop",After Hours,2020-03-20,3:35,68,83,2,0,64,3,54,-5 db,118,C Major,8B,4,2022-04-25,5QO79kh1waicV47BqGRL3g
50 , Levitating (feat. DaBaby),"Dua Lipa,DaBaby",85,"dance pop, pop, uk pop, north carolina hip hop, rap, trap","Pop, Hip Hop",Future Nostalgia,2020-03-27,3:23,70,83,1,0,92,6,7,-4 db,103,F#/G♭ Minor,11A,4,2022-04-25,5nujrmhLynf4yMoMtj8AQF
