#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
1 , Złote Tarasy,"Mr. Polska,Abel de Jong",74,"dutch hip hop, polish hip hop, polish trap",Hip Hop,Złote Tarasy,2022-04-08,2:26,88,60,52,0,93,33,29,-7 db,127,G Minor,6A,4,2022-04-25,0dorKIz071s55Jy0zxb4aW
2 , Jeżyk!,Oki,71,polish hip hop,Hip Hop,Jeżyk!,2022-04-11,3:28,73,64,4,0,52,14,32,-7 db,136,A Major,11B,4,2022-04-25,05vIFEbXYpmGOsLgWZVJCX
3 , Szary świat,"sanah,Kwiat Jabłoni",61,"polish pop, polish alternative","New age, Pop",UCZTA,2022-04-14,3:23,70,55,13,0,27,4,8,-9 db,121,C♯/D♭ Major,3B,4,2022-04-25,0IeTXtlaZaJ31r0TfPu6Gc
4 , Trójkąt Bermudzki,"Sentino,Nitro,MASNY BEN,mgng",56,"polish hip hop, polish viral rap",Hip Hop,Megalomania,2022-04-12,3:45,65,84,32,0,63,17,21,-5 db,128,C♯/D♭ Major,3B,4,2022-04-25,3xyEgP4dQbnQtLoYDCKzEv
5 , ostatnia nadzieja,"sanah,Dawid Podsiadło",62,"polish pop, polish alternative, talent show","New age, Pop",UCZTA,2022-04-14,3:45,69,72,13,0,49,3,58,-8 db,105,E Minor,9A,4,2022-04-25,2KTfSSKBBfMLXwDqrtoOE5
6 , As It Was,Harry Styles,100,pop,Pop,As It Was,2022-03-31,2:47,52,73,34,0,66,6,31,-5 db,174,F#/G♭ Minor,11A,4,2022-04-25,4LRPiXqCikLlN15c3yImP7
7 , Lawenda,"SB Maffija,White 2115,Białas,Kinny Zimmer,Bedoes,Pedro,francis",64,"polish hip hop, polish trap,",Hip Hop,Hotel Maffija 2,2022-01-28,3:34,64,54,66,0,59,5,12,-8 db,75,A Major,11B,4,2022-04-25,1kuw8HFbvgAg3tNqPj00Mb
8 , Robotniczy Trap,"Young Igi,Żabson",70,"polish hip hop, polish trap",Hip Hop,amfisbena (DELUXE),2022-03-10,2:11,85,81,3,0,50,30,6,-6 db,164,B Major,1B,4,2022-04-25,0Vm4VKVkSvKLyAHm6XWrfx
9 , Jetlag (feat. The Plug),"Malik Montana,DaChoyce,SRNO,The Plug",73,"polish hip hop, polish trap, dutch hip hop, dutch rap pop, uk drill, uk hip hop","Hip Hop, Pop",Jetlag (feat. The Plug),2022-02-06,2:06,82,51,12,0,52,33,51,-7 db,125,G Major,9B,4,2022-04-25,2jG3STVcZ9fjYlhXPi7nJ1
10 , dres,"Miszel,Kabe,Premixm",68,"polish alternative rap, polish hip hop, polish trap,","New age, Hip Hop",dres,2022-04-01,2:55,65,55,8,0,72,7,32,-11 db,146,G#/A♭ Major,4B,4,2022-04-25,2JMzBOrwlTJFEKOea1uarD
