#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
1 , As It Was,Harry Styles,99,pop,Pop,As It Was,2022-03-31,2:47,52,73,34,0,66,6,31,-5 db,174,F#/G♭ Minor,11A,4,2022-04-08,4LRPiXqCikLlN15c3yImP7
2 , Heat Waves,Glass Animals,96,"gauze pop, indietronica, shiver pop","Pop, Rock",Dreamland (+ Bonus Levels),2020-08-06,3:58,76,53,44,0,53,9,9,-7 db,81,B Major,1B,4,2022-04-08,02MWAaffLxlfxAUY7c5dvx
3 , ?mis sa tegid,5MIINUST,51,"estonian hip hop, estonian pop","Hip Hop, Pop",kõik on süüdi,2021-11-30,3:56,58,82,0,0,17,4,9,-6 db,120,E Minor,9A,4,2022-04-08,4VJpJ0g4b0KqF7KZHiwOpV
4 , Down Under (feat. Colin Hay),"Luude,Colin Hay",75,"aussietronica, neo mellow, solo wave","Dance/Electronic, Folk/Acoustic",Down Under (feat. Colin Hay),2021-11-19,2:38,31,86,1,0,4,17,28,-4 db,172,B Minor,10A,4,2022-04-08,3Oww84xrmgjyr5J1ilOmAf
5 , MIDDLE OF THE NIGHT,Elley Duhé,97,"alt z, pop",Pop,MIDDLE OF THE NIGHT,2020-01-10,3:04,41,61,2,0,9,5,12,-8 db,186,E Minor,9A,3,2022-04-08,58HvfVOeJY7lUuCqF0m3ly
6 , Teesklejad,Liis Lemsalu,8,"estonian pop, eurovision",Pop,Teesklejad,2022-04-07,2:52,73,61,12,0,48,5,11,-6 db,110,D Minor,7A,4,2022-04-08,5jhYoYzl45fTjqDo6VTsA3
7 , Another Love,Tom Odell,59,"chill pop, pop",Pop,Long Way Down,2013-06-17,4:04,44,54,72,0,14,5,9,-9 db,123,E Minor,9A,4,2022-04-08,7jtQIBanIiJOMS6RyCx6jZ
8 , Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons,JID,Arcane,League of Legends",90,"modern rock, rock, hip hop, rap, speedrun, video game music","Hip Hop, Rock, Easy listening",Mercury - Act 1,2021-09-03,2:53,73,78,24,0,56,27,43,-4 db,77,B Minor,10A,4,2022-04-08,1HhNoOuqm1a5MXYEgAFl8o
9 , Softcore,The Neighbourhood,94,"modern alternative rock, modern rock, pop, shimmer pop","Rock, Pop",Hard To Imagine The Neighbourhood Ever Changing,2018-11-02,3:26,57,57,5,0,37,3,29,-6 db,94,A Minor,8A,4,2022-04-08,2K7xn816oNHJZ0aVqdQsha
10 , Cold Heart - PNAU Remix,"Elton John,Dua Lipa,PNAU",79,"glam rock, mellow gold, piano rock, dance pop, pop, uk pop, alternative dance, aussietronica, australian dance, australian electropop","Rock, Dance/Electronic, Pop",The Lockdown Sessions,2021-10-22,3:22,80,80,4,0,93,3,9,-6 db,116,C♯/D♭ Major,3B,4,2022-04-08,7rglLriMNBPAyuJOMGwi39
11 , Where Are You Now,"Lost Frequencies,Calum Scott",97,"belgian edm, edm, pop, pop dance, tropical house, neo mellow","Dance/Electronic, Folk/Acoustic, Pop",Where Are You Now,2021-07-30,2:28,67,64,52,0,26,10,17,-8 db,121,F#/G♭ Minor,11A,4,2022-04-08,3uUuGVFu1V7jTQL60S1r8z
12 , Pargi 6,Clicherik & Mäx,39,"estonian hip hop, estonian pop","Hip Hop, Pop",Pargi 6,2022-04-01,2:44,69,81,1,0,64,5,20,-5 db,124,A Major,11B,4,2022-04-08,57ROYUybqh2ujlErrk3VL9
13 , Woman,Doja Cat,97,"dance pop, pop",Pop,Planet Her,2021-06-25,2:52,82,76,9,0,88,9,12,-4 db,108,F Minor,4A,4,2022-04-08,6Uj1ctrBOjOas8xZXGqKk4
14 , Stan Smith,"Alcemist,Coco",74,"bass house, ukg revival",Dance/Electronic,Stan Smith,2022-01-27,3:55,70,87,7,0,25,33,13,-1 db,175,D Major,10B,4,2022-04-08,0nCgsAki7e7I243CUblGxU
15 , Bam Bam (feat. Ed Sheeran),"Camila Cabello,Ed Sheeran",96,"dance pop, pop, post-teen pop, uk pop",Pop,Bam Bam (feat. Ed Sheeran),2022-03-04,3:26,76,70,18,0,96,4,33,-6 db,95,G#/A♭ Major,4B,4,2022-04-08,0QBzMgT7NIeoCYy3sJCof1
16 , The Motto,"Tiësto,Ava Max",96,"big room, brostep, dance pop, dutch edm, edm, house, pop, pop dance, slap house, trance, tropical house","Dance/Electronic, Pop",The Motto,2021-11-04,2:44,75,76,3,0,46,4,9,-5 db,118,G Minor,6A,4,2022-04-08,18asYwWugKjjsihZ0YvRxO
17 , Sweater Weather,The Neighbourhood,95,"modern alternative rock, modern rock, pop, shimmer pop","Rock, Pop",I Love You.,2013-04-19,4:00,61,81,5,2,40,3,10,-3 db,124,A#/B♭ Major,6B,4,2022-04-08,2QjOHCTQ1Jl3zawyYOpxh6
18 , INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X,Jack Harlow",92,"lgbtq+ hip hop, pop, deep underground hip hop, kentucky hip hop, rap","Hip Hop, Pop",MONTERO,2021-09-17,3:32,74,69,2,0,89,7,5,-7 db,150,A#/B♭ Minor,3A,4,2022-04-08,5Z9KJZvQzH6PFmb8SNkxuk
19 , koptereid,5MIINUST,48,"estonian hip hop, estonian pop","Hip Hop, Pop",koptereid,2021-09-23,4:10,57,78,0,0,17,4,15,-8 db,115,E Minor,9A,4,2022-04-08,4QWbJNAWatPr3j065e3N7H
20 , Zim Zimma,"Marcara,Siimi",48,"estonian hip hop, estonian electronic","Dance/Electronic, Hip Hop",Zim Zimma,2021-12-17,2:42,66,90,3,7,47,4,44,-6 db,145,B Major,1B,4,2022-04-08,2cbkgGRldr8q7XEryBMFCZ
21 , pagasita peruus (aguascalientes),nublu,49,estonian pop,Pop,pagasita peruus (aguascalientes),2022-03-10,3:13,74,64,21,0,53,21,43,-6 db,90,F Minor,4A,4,2022-04-08,5eJ7P2Wx8bMujs5T46yAlM
22 , THATS WHAT I WANT,Lil Nas X,97,"lgbtq+ hip hop, pop","Hip Hop, Pop",MONTERO,2021-09-17,2:23,74,85,1,0,55,22,5,-5 db,88,C♯/D♭ Minor,12A,4,2022-04-08,0e8nrvls4Qqv5Rfa2UhqmO
23 , Revenge,XXXTENTACION,90,"emo rap, miami hip hop",Hip Hop,17,2017-08-25,2:00,75,25,78,0,18,26,11,-16 db,140,B Minor,10A,4,2022-04-08,5TXDeTFVRVY7Cvt0Dw4vWW
24 , STAY (with Justin Bieber),"The Kid LAROI,Justin Bieber",94,"australian hip hop, canadian pop, pop","Hip Hop, Pop",F*CK LOVE 3: OVER YOU,2021-07-23,2:21,59,76,4,0,48,5,10,-5 db,170,C♯/D♭ Major,3B,4,2022-04-08,5PjdY0CKGZdEuoNab3yDmX
25 , Infinity,Jaymes Young,96,"modern rock, pop","Rock, Pop",Feel Something,2017-06-23,3:57,67,67,15,0,49,4,30,-7 db,122,B Minor,10A,4,2022-04-08,1SOClUWhOi8vHZYMz3GluK
26 , Starlight,Dave,92,uk hip hop,Hip Hop,Starlight,2022-03-03,3:31,95,37,34,0,37,29,10,-10 db,124,E Minor,9A,4,2022-04-08,531KGXtBroSrOX9LVmiIgc
27 , Pepas,Farruko,87,"latin, latin hip hop, reggaeton, trap latino","Latin, Hip Hop",La 167,2021-10-01,4:47,76,77,1,0,44,3,13,-4 db,130,G Major,9B,4,2022-04-08,2B4GHvToeLTOBB4QLzW3Ni
28 , Boyfriend,Dove Cameron,96,"pop, post-teen pop",Pop,Boyfriend,2022-02-11,2:33,35,61,23,0,23,6,19,-7 db,180,G Minor,6A,3,2022-04-08,59CfNbkERJ3NoTXDvoURjj
29 , Shivers,Ed Sheeran,96,"pop, uk pop",Pop,=,2021-10-29,3:27,79,86,28,0,82,9,4,-3 db,141,D Major,10B,4,2022-04-08,50nfwKoDiSYg8zOCREWAm5
30 , Do It To It,"ACRAZE,Cherish",95,"atl hip hop, girl group, hip pop, r&b, southern hip hop, urban contemporary","Hip Hop, Pop, R&B",Do It To It,2021-08-20,2:37,85,81,2,5,64,9,7,-8 db,125,B Minor,10A,4,2022-04-08,20on25jryn53hWghthWWW3
31 , abcdefu,GAYLE,100,modern alternative pop,Rock,abcdefu,2021-08-13,2:48,70,54,30,0,42,5,37,-6 db,122,E Major,12B,4,2022-04-08,4fouWK6XVHhzl78KzQ1UjL
32 , Something In The Way - Remastered,Nirvana,62,"grunge, permanent wave, rock",Rock,Nevermind (30th Anniversary Super Deluxe),1991-09-24,3:52,43,23,82,37,6,3,11,-12 db,105,G#/A♭ Major,4B,4,2022-04-08,2WL6GQzPuK9Nrpy9XwNEbz
33 , After Dark,Mr.Kitty,79,weirdcore,,Time,2014-08-08,4:17,58,60,7,41,4,3,8,-10 db,140,G#/A♭ Major,4B,4,2022-04-08,0zCgWGmDF0aih5qexATyBn
34 , Vihje,"nublu,Mikael Gabriel",58,"estonian pop, finnish dance pop, finnish hip hop, finnish pop","Pop, Dance/Electronic, Hip Hop",Vihje,2021-12-30,3:30,78,76,18,0,83,8,8,-5 db,98,A Major,11B,4,2022-04-08,1w2vjbD7OmP9TaPRiiA2xW
35 , Ghost,Justin Bieber,95,"canadian pop, pop",Pop,Justice,2021-03-19,2:33,60,74,19,0,44,5,42,-6 db,154,D Major,10B,4,2022-04-08,6I3mqTwhRpn34SLVafSH7G
36 , Without Me,Eminem,93,"detroit hip hop, hip hop, rap",Hip Hop,The Eminem Show,2002-05-26,4:50,91,67,0,0,66,7,24,-3 db,112,G Major,9B,4,2022-04-08,7lQ8MOhq6IN2w8EYcFNSUk
37 , 505,Arctic Monkeys,87,"garage rock, permanent wave, rock, sheffield indie","Blues, Rock",Favourite Worst Nightmare (Standard Version),2007-04-24,4:13,52,85,0,0,23,5,7,-6 db,140,C Major,8B,4,2022-04-08,58ge6dfP91o9oXMzq3XkIS
