#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
1 , Crying in the Rain,Ali Gatie,67,"canadian hip hop, pop","Hip Hop, Pop",Crying in the Rain,2022-03-04,2:35,60,51,30,0,14,4,7,-8 db,118,C♯/D♭ Major,3B,4,2022-04-25,134G2m5YsPiZXFOduHEfSJ
2 , showdown,shadowraze,74,"russian drain, russian hip hop",Hip Hop,showdown,2022-03-04,2:00,71,63,4,3,38,13,9,-11 db,115,F#/G♭ Major,2B,4,2022-04-25,48fzAdCxamFYCHNXXLk6zn
3 , astral step,shadowraze,71,"russian drain, russian hip hop",Hip Hop,astral step,2021-10-29,2:01,80,62,1,0,69,29,10,-7 db,95,G Major,9B,4,2022-04-25,47iHvzU9Po0e6raFlgLBOF
4 , Лёд,"WENARO,LXNER",68,"russian drain, hyperpop, russian hip hop","Pop, Hip Hop",Лёд,2021-07-12,2:32,64,79,17,0,95,6,16,-8 db,172,G#/A♭ Major,4B,4,2022-04-25,7D8k995g6jdie4NF1E7Tpu
5 , RAVE,Dxrk ダーク,76,drift phonk,,RAVE,2022-03-18,2:49,72,75,24,85,34,4,11,-6 db,120,G#/A♭ Major,4B,4,2022-04-25,01kfSdF9zfcDLri5sSWEoL
6 , ярче звёзд,ПОЛМАТЕРИ,59,,,иван марголдин президент россии,2020-08-18,2:47,45,91,2,0,26,5,19,-4 db,115,F#/G♭ Major,2B,4,2022-04-25,4CK9NEdPWB6rJ8N6BU20pN
7 , Селяви,MORGENSHTERN,64,"russian hip hop, russian trap","Hip Hop, Latin",Селяви,2022-04-08,2:40,90,44,8,0,33,7,22,-9 db,100,F Major,7B,4,2022-04-25,3SOHFsSinxM6flLceYl5BT
8 , Зелёный глаз,Минин,61,,,Зелёный глаз,2022-02-11,1:54,78,42,62,0,27,8,10,-11 db,135,E Minor,9A,4,2022-04-25,4ZOjdqmXLuwHDQUn9WWoFR
9 , Фотографирую закат,fem.love,66,"russian drain, russian hip hop",Hip Hop,Фотографирую закат,2020-06-22,2:36,41,90,0,0,40,6,17,-3 db,160,F#/G♭ Major,2B,4,2022-04-25,1ghdJUMhmLEpUitNwyNMWH
10 , Днями-ночами,"pyrokinesis,MUKKA",63,"russian alt pop, russian hip hop, russian underground rap","Dance/Electronic, Hip Hop",Днями-ночами,2020-03-19,3:17,56,88,18,0,31,6,26,-2 db,180,A Major,11B,4,2022-04-25,04gmklgYhNhZxRnAvSofoE
11 , ЛАБИРИНТ,FACE,65,"kavkaz, russian emo rap, russian grime, russian hip hop, russian trap","Pop, Hip Hop, Latin",12,2019-10-01,2:49,87,72,21,0,91,14,18,-6 db,138,E Minor,9A,4,2022-04-25,7biChppM3c8q7qcVl7ceb2
12 , Ау,"10AGE,Ramil'",62,"russian hip hop, russian pop","Hip Hop, Pop",Ау,2019-03-21,3:00,72,43,69,0,28,26,10,-10 db,146,A#/B♭ Minor,3A,4,2022-04-25,6RmlamfS2Supq8wARlY0QQ
13 , never enough,zxcursed,65,,,never enough,2022-03-13,2:22,65,83,2,0,56,24,30,-6 db,132,C Major,8B,4,2022-04-25,48jRCynldeK3WQbvd3jr73
14 , adaptive strike,"shadowraze,LXNER,quiizzzmeow",68,"russian drain, russian hip hop, hyperpop, russian emo rap, russian hyperpop","Pop, Hip Hop",adaptive strike,2022-02-11,2:16,80,82,19,0,39,5,10,-7 db,102,C♯/D♭ Major,3B,4,2022-04-25,5jXocrsUwpKwWyI5BZLKFA
15 , Грязный,"OG Buda,Scally Milano,163ONMYNECK",49,"russian drill, russian hip hop, russian trap","Hip Hop, Latin",Грязный,2022-04-21,2:10,55,67,37,0,56,32,16,-9 db,96,D Major,10B,4,2022-04-25,72RTxD7kDHvtzldLNvw1U1
16 , Yeyo!,Шайни,65,"russian drain, russian hip hop, russian hyperpop",Hip Hop,Yeyo!,2022-02-11,1:51,72,80,10,0,44,6,12,-9 db,138,A Major,11B,4,2022-04-25,4jvw60Iw8LpSRJwy1sOmoB
17 , МАЛИНОВАЯ ЛАДА,GAYAZOV$ BROTHER$,67,"russian dance, russian hip hop, russian pop","Dance/Electronic, Hip Hop, Pop",МАЛИНОВАЯ ЛАДА,2021-10-22,3:33,76,88,6,0,82,4,23,-5 db,117,E Minor,9A,4,2022-04-25,77B4S4jkrAkL3Ng5hEHoUU
18 , Another Love,Tom Odell,54,"chill pop, pop",Pop,Long Way Down,2013-06-17,4:04,44,54,72,0,14,5,9,-9 db,123,E Minor,9A,4,2022-04-25,7jtQIBanIiJOMS6RyCx6jZ
19 , плачь,"rizza,Sqwore",66,"russian drain, russian hip hop, russian hyperpop",Hip Hop,плачь,2021-08-27,1:56,66,83,30,0,55,23,12,-4 db,157,E Minor,9A,4,2022-04-25,3yCKABoZU3FVFuyVBc5VlM
20 , СНОВА?,INSTASAMKA,42,"russian hip hop, zhenskiy rep",Hip Hop,СНОВА?,2022-04-21,2:09,82,47,0,0,31,30,10,-8 db,174,G#/A♭ Major,4B,4,2022-04-25,1WMUqe3wdl3gYBzOmVpzWJ
21 , 99 Problems,"Big Baby Tape,kizaru",66,"russian hip hop, russian trap, russian emo rap","Hip Hop, Latin",BANDANA I,2021-10-22,2:39,95,45,2,0,18,10,7,-9 db,100,A Major,11B,4,2022-04-25,0r9fpWPI6z3V3YZXIiVaNC
22 , shadowfiend,shadowraze,66,"russian drain, russian hip hop",Hip Hop,shadowfiend,2020-09-30,2:23,63,80,5,45,66,8,11,-6 db,178,A#/B♭ Minor,3A,5,2022-04-25,0xEET0hVtwAEI5iVMWmD5C
23 , Я хочу тебя трахать,"Scally Milano,uglystephan",45,"russian hip hop, russian drain, russian viral rap, zxc",Hip Hop,Пропаганда денег,2022-04-15,2:24,77,60,18,0,75,17,7,-5 db,136,C♯/D♭ Major,3B,4,2022-04-25,12GNcuMwxsLQQG4A9flx9r
24 , Bandana,"Big Baby Tape,kizaru",65,"russian hip hop, russian trap, russian emo rap","Hip Hop, Latin",BANDANA I,2021-10-22,2:31,75,58,1,4,35,3,17,-6 db,103,F Major,7B,4,2022-04-25,16AzcbKli3UQsxj491hJLQ
25 , As It Was,Harry Styles,100,pop,Pop,As It Was,2022-03-31,2:47,52,73,34,0,66,6,31,-5 db,174,F#/G♭ Minor,11A,4,2022-04-25,4LRPiXqCikLlN15c3yImP7
26 , ТОЛПЫ КРИЧАТ,"uniqe,nkeeei,ARTEM SHILOVETS",65,"russian hip hop,",Hip Hop,ТОЛПЫ КРИЧАТ,2021-09-28,2:05,90,38,70,0,70,24,9,-7 db,130,D#/E♭ Minor,2A,4,2022-04-25,3mcw4dkjfzj5B4Ago9NSmN
27 , Close Eyes,DVRST,81,,,Close Eyes,2021-05-25,2:12,78,57,7,84,21,6,14,-10 db,96,C Major,8B,4,2022-04-25,3CLSHJv5aUROAN2vfOyCOh
28 , Дофамин,"Scally Milano,163ONMYNECK",50,"russian hip hop, russian drill",Hip Hop,Пропаганда денег,2022-04-15,1:50,71,65,23,0,24,33,33,-7 db,144,F#/G♭ Minor,11A,4,2022-04-25,7gfbn6KguRyzGN8DXiH325
29 , Домино,FACE,62,"kavkaz, russian emo rap, russian grime, russian hip hop, russian trap","Pop, Hip Hop, Latin",Искренний,2021-04-08,3:18,84,54,7,4,44,5,10,-9 db,134,B Major,1B,4,2022-04-25,6GyZQ9o0dBU9V0NIjGPz2r
30 , MIDDLE OF THE NIGHT,Elley Duhé,92,"alt z, pop",Pop,MIDDLE OF THE NIGHT,2020-01-10,3:04,41,61,2,0,9,5,12,-8 db,186,E Minor,9A,3,2022-04-25,58HvfVOeJY7lUuCqF0m3ly
31 , After Dark,Mr.Kitty,74,weirdcore,,Time,2014-08-08,4:17,58,60,7,41,4,3,8,-10 db,140,G#/A♭ Major,4B,4,2022-04-25,0zCgWGmDF0aih5qexATyBn
32 , Капли,"OG Buda,Дора",56,"russian drill, russian hip hop, russian trap, russian alt pop, russian pop","Dance/Electronic, Hip Hop, Pop, Latin",Капли,2022-04-15,2:40,70,49,4,0,46,10,9,-9 db,143,F#/G♭ Major,2B,4,2022-04-25,0LwPFTgtNaQrfyWHM42Z83
