#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
27 , Ты и Я,Xcho,59,"russian dance, russian hip hop","Dance/Electronic, Hip Hop",Ты и Я,2022-03-25,2:28,86,67,43,0,39,23,9,-4 db,135,A Minor,8A,4,2022-04-10,5G8QKxPILlA34renUDrOih
28 , Woman,Doja Cat,96,"dance pop, pop",Pop,Planet Her,2021-06-25,2:52,82,76,9,0,88,9,12,-4 db,108,F Minor,4A,4,2022-04-10,6Uj1ctrBOjOas8xZXGqKk4
29 , 99 Problems,"Big Baby Tape,kizaru",73,"russian hip hop, russian trap, russian emo rap","Hip Hop, Latin",BANDANA I,2021-10-22,2:39,95,45,2,0,18,10,7,-9 db,100,A Major,11B,4,2022-04-10,0r9fpWPI6z3V3YZXIiVaNC
30 , Фотографирую закат,fem.love,74,"russian drain, russian hip hop",Hip Hop,Фотографирую закат,2020-06-22,2:36,41,90,0,0,40,6,17,-3 db,160,F#/G♭ Major,2B,4,2022-04-10,1ghdJUMhmLEpUitNwyNMWH
31 , never enough,zxcursed,70,,,never enough,2022-03-13,2:22,65,83,2,0,56,24,30,-6 db,132,C Major,8B,4,2022-04-10,48jRCynldeK3WQbvd3jr73
32 , Вороны,Xcho,68,"russian dance, russian hip hop","Dance/Electronic, Hip Hop",Вороны,2021-10-01,2:36,63,51,39,0,17,8,11,-5 db,176,F Minor,4A,4,2022-04-10,1eQc0azOMOv6VuqQi9c2Ba
33 , juggernaut (Prod. by PLVSTIC),shadowraze,73,"russian drain, russian hip hop",Hip Hop,juggernaut (Prod. by PLVSTIC),2021-08-13,2:16,70,66,0,0,59,23,26,-8 db,93,G Major,9B,4,2022-04-10,57V0VhEg1CAkPXeaCLikNW
34 , СОЛНЦЕ МОНАКО,Lusia Chebotina,71,"russian dance pop, russian pop",Pop,The End,2021-10-29,2:40,80,76,7,0,70,7,33,-5 db,135,B Minor,10A,4,2022-04-10,5YDBHDEIgWkfairCJgGApW
35 , Bandana,"Big Baby Tape,kizaru",72,"russian hip hop, russian trap, russian emo rap","Hip Hop, Latin",BANDANA I,2021-10-22,2:31,75,58,1,4,35,3,17,-6 db,103,F Major,7B,4,2022-04-10,16AzcbKli3UQsxj491hJLQ
36 , INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X,Jack Harlow",91,"lgbtq+ hip hop, pop, deep underground hip hop, kentucky hip hop, rap","Hip Hop, Pop",MONTERO,2021-09-17,3:32,74,69,2,0,89,7,5,-7 db,150,A#/B♭ Minor,3A,4,2022-04-10,5Z9KJZvQzH6PFmb8SNkxuk
37 , Aomine Daiki,quiizzzmeow,71,"russian drain, russian emo rap, russian hip hop, russian hyperpop",Hip Hop,Aomine Daiki,2021-10-05,2:47,51,82,3,0,16,5,36,-6 db,82,C♯/D♭ Major,3B,4,2022-04-10,5X1FYw7MXEgnPmQAYwAa0q
38 , Million,"Big Baby Tape,kizaru",71,"russian hip hop, russian trap, russian emo rap","Hip Hop, Latin",BANDANA I,2021-10-22,2:14,87,68,3,0,72,22,27,-5 db,165,F#/G♭ Major,2B,4,2022-04-10,4umjgYILQbHyV41ZmaemQm
39 , Otyzdan asyp baramyn,Irina Kairatovna,51,"central asian hip hop, kazakh hip hop, kazakh pop, russian hip hop","Pop, Hip Hop",Otyzdan asyp baramyn,2021-12-18,3:34,79,52,75,0,37,19,10,-8 db,130,D Minor,7A,4,2022-04-10,609GvJOBdyzhVUuDZbYPYy
40 , Baby mama,"Skryptonite,Райда",69,"central asian hip hop, kazakh hip hop, russian hip hop, russian trap,","Hip Hop, Latin",Baby mama,2020-07-03,3:51,89,57,2,0,55,15,14,-6 db,104,G Minor,6A,4,2022-04-10,5X33A2X2OuQXUOKhawWCMm
41 , psiblades,"shadowraze,babyswishh1",72,"russian drain, russian hip hop, russian hyperpop",Hip Hop,psiblades,2021-09-30,2:11,47,81,19,0,58,8,10,-8 db,176,C Major,8B,4,2022-04-10,3auzaPW4fXa8oI4KbTalAU
42 , Положение,Skryptonite,68,"central asian hip hop, kazakh hip hop, russian hip hop, russian trap","Hip Hop, Latin",Уроборос: Улица 36,2017-12-16,4:42,58,54,54,0,24,32,15,-9 db,63,C♯/D♭ Minor,12A,4,2022-04-10,1hfISzdAwnywAKxaSpfloo
43 , плачь,"rizza,Sqwore",72,"russian drain, russian hip hop, russian hyperpop",Hip Hop,плачь,2021-08-27,1:56,66,83,30,0,55,23,12,-4 db,157,E Minor,9A,4,2022-04-10,3yCKABoZU3FVFuyVBc5VlM
44 , Freaks,Surf Curse,90,"dreamo, indie surf, surf punk, vegas indie",Rock,Freaks,2021-05-15,2:27,35,94,0,63,41,5,5,-10 db,180,A Major,11B,4,2022-04-10,7EkWXAI1wn8Ii883ecd9xr
45 , Notion,The Rare Occasions,91,la indie,Pop,Notion,2021-12-02,3:15,31,88,7,0,31,8,8,-4 db,159,A Major,11B,4,2022-04-10,0sTlGEld0h8kIPZaKDYUf4
46 , I Love You So,The Walters,95,chicago indie,Rock,I Love You So,2014-11-28,2:40,57,65,58,0,47,4,12,-5 db,76,A#/B♭ Major,6B,4,2022-04-10,4SqWKzw0CbA05TGszDgMlc
47 , Jealous,Eyedress,85,noise pop,Rock,Jealous,2019-12-06,2:02,47,92,0,85,70,5,48,-10 db,93,A Minor,8A,4,2022-04-10,1aXV8GrmQLvgoFtBPERP7E
48 , abcdefu,GAYLE,98,modern alternative pop,Rock,abcdefu,2021-08-13,2:48,70,54,30,0,42,5,37,-6 db,122,E Major,12B,4,2022-04-10,4fouWK6XVHhzl78KzQ1UjL
49 , Daddy Issues,The Neighbourhood,90,"modern alternative rock, modern rock, pop, shimmer pop","Rock, Pop",Wiped Out!,2015-10-30,4:20,59,52,7,15,34,3,12,-9 db,85,A#/B♭ Major,6B,4,2022-04-10,5E30LdtzQTGqRvNd7l6kG5
50 , Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,"Daft Punk,Pharrell Williams,Nile Rodgers",87,"electro, filter house, hip hop, pop rap, disco","R&B, Hip Hop, Dance/Electronic",Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],2013-04-19,4:08,79,81,4,0,86,4,10,-9 db,116,F#/G♭ Minor,11A,4,2022-04-10,2Foc5Q5nqNiosCNqttzHof
