#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
1 , As It Was,Harry Styles,100,pop,Pop,As It Was,2022-03-31,2:47,52,73,34,0,66,6,31,-5 db,174,F#/G♭ Minor,11A,4,2022-04-26,4LRPiXqCikLlN15c3yImP7
2 , First Class,Jack Harlow,94,"deep underground hip hop, kentucky hip hop, rap",Hip Hop,First Class,2022-04-08,2:53,91,56,3,0,32,10,11,-6 db,107,G#/A♭ Major,4B,4,2022-04-26,1rDQ4oMwGJI7B4tovsBOxc
3 , Heat Waves,Glass Animals,91,"gauze pop, indietronica, shiver pop","Pop, Rock",Dreamland (+ Bonus Levels),2020-08-06,3:58,76,53,44,0,53,9,9,-7 db,81,B Major,1B,4,2022-04-26,02MWAaffLxlfxAUY7c5dvx
4 , Out of Your Mind,Solven,58,,,Out of Your Mind,2022-04-15,2:39,67,81,0,2,12,5,20,-5 db,128,A Major,11B,4,2022-04-26,1wRKwSa4fLSA0SHGqcfSL4
5 , Cold Heart - PNAU Remix,"Elton John,Dua Lipa,PNAU",85,"glam rock, mellow gold, piano rock, dance pop, pop, uk pop, alternative dance, aussietronica, australian dance, australian electropop","Rock, Dance/Electronic, Pop",The Lockdown Sessions,2021-10-22,3:22,80,80,4,0,93,3,9,-6 db,116,C♯/D♭ Major,3B,4,2022-04-26,6JIC3hbC28JZKZ8AlAqX8h
6 , Where Are You Now,"Lost Frequencies,Calum Scott",91,"belgian edm, edm, pop, pop dance, tropical house, neo mellow","Dance/Electronic, Folk/Acoustic, Pop",Where Are You Now,2021-07-30,2:28,67,64,52,0,26,10,17,-8 db,121,F#/G♭ Minor,11A,4,2022-04-26,3uUuGVFu1V7jTQL60S1r8z
7 , RAVE,Dxrk ダーク,76,drift phonk,,RAVE,2022-03-18,2:49,72,75,24,85,34,4,11,-6 db,120,G#/A♭ Major,4B,4,2022-04-26,01kfSdF9zfcDLri5sSWEoL
8 , Grįšiu,"jautì,Justinas Jarutis",4,"baltic post-punk, lithuanian indie, lithuanian pop","Jazz, Pop",Meilė,2022-04-25,2:34,58,83,0,0,78,8,9,-7 db,175,F#/G♭ Minor,11A,4,2022-04-26,7tavcxKMArAfiFc8Wf2aI3
9 , Bam Bam (feat. Ed Sheeran),"Camila Cabello,Ed Sheeran",79,"dance pop, pop, post-teen pop, uk pop",Pop,Familia,2022-04-07,3:26,76,70,18,0,96,4,33,-6 db,95,G#/A♭ Major,4B,4,2022-04-26,2DB4DdfCFMw1iaR6JaR03a
10 , MIDDLE OF THE NIGHT,Elley Duhé,92,"alt z, pop",Pop,MIDDLE OF THE NIGHT,2020-01-10,3:04,41,61,2,0,9,5,12,-8 db,186,E Minor,9A,3,2022-04-26,58HvfVOeJY7lUuCqF0m3ly
11 , The Motto,"Tiësto,Ava Max",90,"big room, brostep, dance pop, dutch edm, edm, house, pop, pop dance, slap house, trance, tropical house","Dance/Electronic, Pop",The Motto,2021-11-04,2:44,75,76,3,0,46,4,9,-5 db,118,G Minor,6A,4,2022-04-26,18asYwWugKjjsihZ0YvRxO
12 , Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons,JID,Arcane,League of Legends",85,"modern rock, rock, hip hop, rap, underground hip hop, speedrun, video game music","Hip Hop, Rock, Easy listening",Mercury - Act 1,2021-09-03,2:53,73,78,24,0,56,27,43,-4 db,77,B Minor,10A,4,2022-04-26,1HhNoOuqm1a5MXYEgAFl8o
13 , Softcore,The Neighbourhood,87,"modern alternative rock, modern rock, pop, shimmer pop","Rock, Pop",Hard To Imagine The Neighbourhood Ever Changing,2018-11-02,3:26,57,57,5,0,37,3,29,-6 db,94,A Minor,8A,4,2022-04-26,2K7xn816oNHJZ0aVqdQsha
14 , Pražys,"jautì,Gabrielė Vilkickytė",41,"baltic post-punk, lithuanian indie, lithuanian pop","Jazz, Pop",Pražys,2022-03-14,4:13,50,45,40,0,34,3,10,-10 db,139,D Major,10B,3,2022-04-26,3XstEplljzYDXw3pipKeYE
15 , Woman,Doja Cat,92,"dance pop, pop",Pop,Planet Her,2021-06-25,2:52,82,76,9,0,88,9,12,-4 db,108,F Minor,4A,4,2022-04-26,6Uj1ctrBOjOas8xZXGqKk4
16 ," Ten, Kur Tu","jautì,Monika LIU",3,"baltic post-punk, lithuanian indie, lithuanian pop","Jazz, Pop",Meilė,2022-04-25,4:29,26,44,7,87,9,4,48,-8 db,124,E Major,12B,3,2022-04-26,0dyTM71N5e3o3VJlhKoYgb
17 , Šokam Lėtai,Jessica Shy,44,lithuanian pop,Pop,Apkabinti Prisiminimus,2022-01-25,2:36,76,62,26,0,51,3,25,-8 db,100,A Minor,8A,4,2022-04-26,149qQkZez6yujONJspKw7U
18 , Sweater Weather,The Neighbourhood,89,"modern alternative rock, modern rock, pop, shimmer pop","Rock, Pop",I Love You.,2013-04-19,4:00,61,81,5,2,40,3,10,-3 db,124,A#/B♭ Major,6B,4,2022-04-26,2QjOHCTQ1Jl3zawyYOpxh6
19 , Shivers,Ed Sheeran,90,"pop, uk pop",Pop,=,2021-10-29,3:27,79,86,28,0,82,9,4,-3 db,141,D Major,10B,4,2022-04-26,50nfwKoDiSYg8zOCREWAm5
20 , INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X,Jack Harlow",86,"lgbtq+ hip hop, pop, deep underground hip hop, kentucky hip hop, rap","Hip Hop, Pop",MONTERO,2021-09-17,3:32,74,69,2,0,89,7,5,-7 db,150,A#/B♭ Minor,3A,4,2022-04-26,5Z9KJZvQzH6PFmb8SNkxuk
21 , Sentimentai,Monika LIU,56,"lithuanian indie, lithuanian pop","Jazz, Pop",Sentimentai,2022-01-18,3:00,68,56,9,0,50,3,31,-8 db,93,C Major,8B,4,2022-04-26,0JNPmXGU9K9DJpV9eHppZz
22 , STAY (with Justin Bieber),"The Kid LAROI,Justin Bieber",88,"australian hip hop, canadian pop, pop","Hip Hop, Pop",F*CK LOVE 3: OVER YOU,2021-07-23,2:21,59,76,4,0,48,5,10,-5 db,170,C♯/D♭ Major,3B,4,2022-04-26,5PjdY0CKGZdEuoNab3yDmX
23 , Another Love,Tom Odell,54,"chill pop, pop",Pop,Long Way Down,2013-06-17,4:04,44,54,72,0,14,5,9,-9 db,123,E Minor,9A,4,2022-04-26,7jtQIBanIiJOMS6RyCx6jZ
24 , Vasarą galvoj minoras,Katarsis,47,"lithuanian indie, lithuanian pop","Jazz, Pop",Vasarą galvoj minoras,2020-10-14,3:24,64,28,96,46,28,6,11,-16 db,120,A#/B♭ Major,6B,4,2022-04-26,1wGPGvj0moDoKMMVwFWFLj
25 , Pirmi Kartai,"jautì,Monique",35,"baltic post-punk, lithuanian indie, lithuanian pop","Jazz, Pop",Pirmi Kartai,2022-04-07,4:14,52,89,1,2,57,5,22,-8 db,165,C♯/D♭ Minor,12A,4,2022-04-26,2jNZ2G7e5pneajmAMVm1Ct
26 , Rugpjūtis,"Justinas Jarutis,Jessica Shy",46,lithuanian pop,Pop,Rugpjūtis,2021-07-09,2:42,79,94,4,0,86,4,10,-5 db,140,C♯/D♭ Major,3B,4,2022-04-26,2psbE7Ds01Xz2MaMIk7APk
