#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
30 , HARD FLEX DRIVE,"Kukon,PRO8L3M",59,"polish hip hop, polish trap, polish alternative rap","New age, Hip Hop",ROUGH N' GENTLE,2022-04-07,2:40,74,78,53,0,39,45,17,-8 db,100,F Minor,4A,4,2022-04-13,0sZlUO136lNSB6sNCY4zxC
31 , Icey,"Żabson,Young Igi",72,"polish hip hop, polish trap",Hip Hop,amfisbena,2022-01-13,2:29,77,67,28,0,35,31,14,-7 db,170,D Major,10B,4,2022-04-13,6BDfLF0GoHND77V6BvFeBo
32 , Dom,"Szpaku,PSR",62,"polish hip hop,",Hip Hop,Dom Dla Zmyślonych Przyjaciół Pana Mateusza,2022-04-06,3:05,73,72,45,0,39,13,24,-7 db,95,G Minor,6A,4,2022-04-13,2nZNHTvbMaIBS194W8c7iT
33 ," Cześć, jak się masz?","Sobel,sanah",65,"polish pop, polish trap",Pop,Pułapka Na Motyle (Deluxe Edition),2021-11-25,3:21,65,53,63,0,49,5,18,-6 db,110,D Major,10B,4,2022-04-13,6sKg6jzvmiNAVsJRl8MaDE
34 , Jeździec Bez Głowy,"Szpaku,PSR",60,"polish hip hop,",Hip Hop,Dom Dla Zmyślonych Przyjaciół Pana Mateusza,2022-04-06,3:07,72,66,45,0,38,10,8,-6 db,133,E Minor,9A,4,2022-04-13,16jEmtfWRH709yGmYNR4hf
35 , HGH,Sentino,31,"polish hip hop, polish viral rap",Hip Hop,Megalomania,2022-04-12,3:36,66,54,15,0,41,44,21,-9 db,152,F Major,7B,4,2022-04-13,7j0FLIZT4tKZrKbaAsJPfd
36 , Boję Się Kochać,"Smolasty,Young Leosia",64,"polish hip hop, polish pop, polish trap","Hip Hop, Pop",Boję Się Kochać,2022-04-01,3:06,72,57,41,0,48,6,20,-7 db,100,C Major,8B,4,2022-04-13,00Nl9PlaLr0g4ujpWosQuH
37 , Mamo tyś płakała,"sanah,Igor Herbut",70,polish pop,Pop,Mamo tyś płakała,2022-03-08,3:00,42,28,26,0,30,3,7,-11 db,101,C Minor,5A,4,2022-04-13,4SyOEnUogQDqYquwoJblvG
38 , Światła Neon,Sentino,31,"polish hip hop, polish viral rap",Hip Hop,Megalomania,2022-04-12,2:27,62,54,7,0,63,49,12,-10 db,82,C♯/D♭ Major,3B,4,2022-04-13,3PN2GOfP9vkEhFtNpRTGyz
39 , Łyk i buch,"SB Maffija,GOMBAO 33,Pedro,francis",65,"polish hip hop,",Hip Hop,Hotel Maffija 2,2022-01-28,2:45,76,81,46,0,61,13,8,-5 db,100,B Major,1B,4,2022-04-13,4gUKSmeJ7TNcVzHcsGxRKK
40 , Megalomania,Sentino,31,"polish hip hop, polish viral rap",Hip Hop,Megalomania,2022-04-12,3:25,84,63,2,0,48,33,17,-9 db,134,F Minor,4A,4,2022-04-13,3izFDMlzF2U9Tyf3z00Rae
41 , Dziecko,Kinny Zimmer,0,polish hip hop,Hip Hop,Dziecko,2022-04-12,3:07,69,56,21,5,41,11,9,-9 db,160,F Minor,4A,4,2022-04-13,3Ww7uhiLL5KnWrrbpbdqig
42 , Disney,Kizo,63,"polish hip hop, polish trap",Hip Hop,Jeszcze 5 minut,2021-10-22,3:39,80,73,26,0,72,29,12,-6 db,123,B Minor,10A,4,2022-04-13,37xytNxwRuLRuZcJMFH8w7
43 , Kiss cam,"Mata,Pedro,francis",65,"polish hip hop, polish trap,",Hip Hop,Młody Matczak,2021-10-01,2:57,78,63,30,0,58,21,30,-9 db,89,F#/G♭ Minor,11A,4,2022-04-13,6eIVuPSZ7D8Q1uaZc8cQnz
44 , Krokodyl Dundee,"Szpaku,Worek,moody scrag",62,"polish hip hop,",Hip Hop,Dom Dla Zmyślonych Przyjaciół Pana Mateusza,2022-04-06,3:32,56,63,36,0,53,7,10,-7 db,140,G#/A♭ Major,4B,4,2022-04-13,28h0ZFwYV84OffAbqVnbxy
45 , Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons,JID,Arcane,League of Legends",88,"modern rock, rock, hip hop, rap, speedrun, video game music","Hip Hop, Rock, Easy listening",Mercury - Act 1,2021-09-03,2:53,73,78,24,0,56,27,43,-4 db,77,B Minor,10A,4,2022-04-13,1HhNoOuqm1a5MXYEgAFl8o
46 , Mr. Mime,"Szpaku,Kubi Producent",62,"polish hip hop, polish trap",Hip Hop,Dom Dla Zmyślonych Przyjaciół Pana Mateusza,2022-04-06,3:23,83,57,13,0,67,5,19,-7 db,126,A Major,11B,4,2022-04-13,7IQRoeohy7RPrjxflWsbkG
47 , Afryka,"Szpaku,PSR",58,"polish hip hop,",Hip Hop,Dom Dla Zmyślonych Przyjaciół Pana Mateusza,2022-04-06,2:42,77,67,22,0,60,5,8,-7 db,105,A Major,11B,3,2022-04-13,2JD2C6QTsIjogwoP1QRn6y
48 , Mateusz,"Szpaku,Kubi Producent",58,"polish hip hop, polish trap",Hip Hop,Dom Dla Zmyślonych Przyjaciół Pana Mateusza,2022-04-06,3:09,53,62,16,0,37,27,18,-7 db,86,A#/B♭ Major,6B,4,2022-04-13,6ZTYmNJgzHjJLuIXlhiOSY
49 , Origami,"Ronnie Ferrari,korweta",70,"polish hip hop,",Hip Hop,Origami,2021-12-07,3:39,82,48,59,0,49,35,10,-8 db,92,C♯/D♭ Major,3B,4,2022-04-13,3205ZtwMnzMBtr7GQZ1IbH
50 , California,White 2115,69,"polish hip hop, polish trap",Hip Hop,Rockstar,2018-08-31,3:12,68,68,25,0,62,5,26,-8 db,135,D Major,10B,4,2022-04-13,2nFaT0t36H6UX3wN3Vxvjm
