#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
1 , As It Was,Harry Styles,100,pop,Pop,As It Was,2022-03-31,2:47,52,73,34,0,66,6,31,-5 db,174,F#/G♭ Minor,11A,4,2022-04-19,4LRPiXqCikLlN15c3yImP7
2 , First Class,Jack Harlow,94,"deep underground hip hop, kentucky hip hop, rap",Hip Hop,First Class,2022-04-08,2:53,91,56,3,0,32,10,11,-6 db,107,G#/A♭ Major,4B,4,2022-04-19,1rDQ4oMwGJI7B4tovsBOxc
3 , MIDDLE OF THE NIGHT,Elley Duhé,93,"alt z, pop",Pop,MIDDLE OF THE NIGHT,2020-01-10,3:04,41,61,2,0,9,5,12,-8 db,186,E Minor,9A,3,2022-04-19,58HvfVOeJY7lUuCqF0m3ly
4 , Heat Waves,Glass Animals,92,"gauze pop, indietronica, shiver pop","Pop, Rock",Dreamland (+ Bonus Levels),2020-08-06,3:58,76,53,44,0,53,9,9,-7 db,81,B Major,1B,4,2022-04-19,02MWAaffLxlfxAUY7c5dvx
5 , low down,"venbee,Dan Fable",60,,,low down,2022-04-15,3:02,72,43,63,9,27,9,10,-11 db,80,C Major,8B,4,2022-04-19,6OlK1W3yH6V3pr6e81hI0u
6 , Down Under (feat. Colin Hay),"Luude,Colin Hay",71,"aussietronica, neo mellow, solo wave","Dance/Electronic, Folk/Acoustic",Down Under (feat. Colin Hay),2021-11-19,2:38,31,86,1,0,4,17,28,-4 db,172,B Minor,10A,4,2022-04-19,3Oww84xrmgjyr5J1ilOmAf
7 , ?mis sa tegid,5MIINUST,47,"estonian hip hop, estonian pop","Hip Hop, Pop",kõik on süüdi,2021-11-30,3:56,58,82,0,0,17,4,9,-6 db,120,E Minor,9A,4,2022-04-19,4VJpJ0g4b0KqF7KZHiwOpV
8 , RAVE,Dxrk ダーク,74,drift phonk,,RAVE,2022-03-18,2:49,72,75,24,85,34,4,11,-6 db,120,G#/A♭ Major,4B,4,2022-04-19,01kfSdF9zfcDLri5sSWEoL
9 , Another Love,Tom Odell,55,"chill pop, pop",Pop,Long Way Down,2013-06-17,4:04,44,54,72,0,14,5,9,-9 db,123,E Minor,9A,4,2022-04-19,7jtQIBanIiJOMS6RyCx6jZ
10 , Bam Bam (feat. Ed Sheeran),"Camila Cabello,Ed Sheeran",76,"dance pop, pop, post-teen pop, uk pop",Pop,Familia,2022-04-07,3:26,76,70,18,0,96,4,33,-6 db,95,G#/A♭ Major,4B,4,2022-04-19,2DB4DdfCFMw1iaR6JaR03a
