#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
1 , As It Was,Harry Styles,100,pop,Pop,As It Was,2022-03-31,2:47,52,73,34,0,66,6,31,-5 db,174,F#/G♭ Minor,11A,4,2022-04-13,4LRPiXqCikLlN15c3yImP7
2 , First Class,Jack Harlow,92,"deep underground hip hop, kentucky hip hop, rap",Hip Hop,First Class,2022-04-08,2:53,91,56,3,0,32,10,11,-6 db,107,G#/A♭ Major,4B,4,2022-04-13,1rDQ4oMwGJI7B4tovsBOxc
3 , Heat Waves,Glass Animals,94,"gauze pop, indietronica, shiver pop","Pop, Rock",Dreamland (+ Bonus Levels),2020-08-06,3:58,76,53,44,0,53,9,9,-7 db,81,B Major,1B,4,2022-04-13,02MWAaffLxlfxAUY7c5dvx
4 , STAY (with Justin Bieber),"The Kid LAROI,Justin Bieber",92,"australian hip hop, canadian pop, pop","Hip Hop, Pop",F*CK LOVE 3: OVER YOU,2021-07-23,2:21,59,76,4,0,48,5,10,-5 db,170,C♯/D♭ Major,3B,4,2022-04-13,5PjdY0CKGZdEuoNab3yDmX
5 , Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons,JID,Arcane,League of Legends",88,"modern rock, rock, hip hop, rap, speedrun, video game music","Hip Hop, Rock, Easy listening",Mercury - Act 1,2021-09-03,2:53,73,78,24,0,56,27,43,-4 db,77,B Minor,10A,4,2022-04-13,1HhNoOuqm1a5MXYEgAFl8o
6 , Bam Bam (feat. Ed Sheeran),"Camila Cabello,Ed Sheeran",68,"dance pop, pop, post-teen pop, uk pop",Pop,Familia,2022-04-07,3:26,76,70,18,0,96,4,33,-6 db,95,G#/A♭ Major,4B,4,2022-04-13,2DB4DdfCFMw1iaR6JaR03a
7 , INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X,Jack Harlow",89,"lgbtq+ hip hop, pop, deep underground hip hop, kentucky hip hop, rap","Hip Hop, Pop",MONTERO,2021-09-17,3:32,74,69,2,0,89,7,5,-7 db,150,A#/B♭ Minor,3A,4,2022-04-13,5Z9KJZvQzH6PFmb8SNkxuk
8 , Cold Heart - PNAU Remix,"Elton John,Dua Lipa,PNAU",77,"glam rock, mellow gold, piano rock, dance pop, pop, uk pop, alternative dance, aussietronica, australian dance, australian electropop","Rock, Dance/Electronic, Pop",The Lockdown Sessions,2021-10-22,3:22,80,80,4,0,93,3,9,-6 db,116,C♯/D♭ Major,3B,4,2022-04-13,7rglLriMNBPAyuJOMGwi39
9 , Envolver,Anitta,96,"funk carioca, funk pop, pagode baiano, pop nacional","Hip Hop, Pop, Latin",Envolver,2021-11-11,3:13,81,74,15,0,40,8,9,-5 db,92,E Minor,9A,4,2022-04-13,3IAfUEeaXRX9s9UdKOJrFI
10 , abcdefu,GAYLE,97,modern alternative pop,Rock,abcdefu,2021-08-13,2:48,70,54,30,0,42,5,37,-6 db,122,E Major,12B,4,2022-04-13,4fouWK6XVHhzl78KzQ1UjL
